Baugruppennummer,Primary Text,id,isHeading,parentBinding,module,Artifact Type
"=""0000""","Richtlinien und Leistungen für Planung, Bau und Nutzung",11790,false,"",12505,Baugruppe
"=""0000""",Grundsätze der Bauabwicklung,7210,false,11790,12505,Baugruppe
"=""0000""",Technische Vorschriften für Bau/Arbeitssicherheit,10460,false,7210,12505,Baugruppe
"=""0001""",Bauvorschrift (BV),11262,false,10460,12505,Baugruppe
"=""0002""","Gesetze, Vorschriften, Richtlinien außerhalb der BV",6713,false,10460,12505,Baugruppe
"=""0003""",Änderungen und Ergänzungen zu den Vorschriften,10118,false,10460,12505,Baugruppe
"=""0004""",Ausnahmen von Vorschriften der Arbeitssicherheit,7433,false,10460,12505,Baugruppe
"=""0005""",Baubeschreibung,8859,false,10460,12505,Baugruppe
"=""0006""","Berechnungen, Zeichnungen, Berichte",7132,false,10460,12505,Baugruppe
"=""0007""","Baugruppen- und Typnummern-Verzeichnis, Sachregister",11859,false,10460,12505,Baugruppe
"=""0008""","Bezeichnungen der Akten, Berichte und Zeichnungen",11549,false,10460,12505,Baugruppe
"=""0009""",Dokumentation und Klassifizierung der Vorschriften,9915,false,10460,12505,Baugruppe
"=""0010""",Planungs- und Entwurfsgrundsätze,11725,false,7210,12505,Baugruppe
"=""0011""",Typeneigenschaften des Schiffes,11628,false,11725,12505,Baugruppe
"=""0012""","Koordinierung der Anlagen im Schiff, Raumaufteilung",9352,false,11725,12505,Baugruppe
"=""0013""","Kampfwert, Einsatz",11928,false,11725,12505,Baugruppe
"=""0015""","Materialerhaltung, Lebensdauer",10490,false,11725,12505,Baugruppe
"=""0016""","Betriebsweise, Bedienung und Rollenplan",9326,false,11725,12505,Baugruppe
"=""0017""",Rettung und Sicherheit,10130,false,11725,12505,Baugruppe
"=""0018""",Termin- und Kostenplanung,11353,false,11725,12505,Baugruppe
"=""0019""",Bau- und Fertigungsplanung,10804,false,11725,12505,Baugruppe
"=""0020""",Konstruktions- und Fertigungsgrundsätze,8524,false,7210,12505,Baugruppe
"=""0021""",Konstruktion und Berechnung,9261,false,8524,12505,Baugruppe
"=""0022""","Fertigungsgrundsätze, Toleranzen",9888,false,8524,12505,Baugruppe
"=""0023""","Montage, Transportwege für Montage",8629,false,8524,12505,Baugruppe
"=""0024""",Werkstoffe,7072,false,8524,12505,Baugruppe
"=""0025""",Gewicht und Raumbedarf,10127,false,8524,12505,Baugruppe
"=""0026""","Schwingungen, Geräusche, Erschütterungen",7886,false,8524,12505,Baugruppe
"=""0027""",Sicherheitsmaßnahmen,10450,false,8524,12505,Baugruppe
"=""0028""",Instandsetzungsfreundlichkeit,7283,false,8524,12505,Baugruppe
"=""0029""","Modell als Montage-, Bauausführ- und Konstr.-Hilfe",12444,false,8524,12505,Baugruppe
"=""0030""",Technisch-wirtschaftliche Grundsätze,11913,false,7210,12505,Baugruppe
"=""0031""",Bauabwicklung,7805,false,11913,12505,Baugruppe
"=""0032""",Kosten,10093,false,11913,12505,Baugruppe
"=""0033""",Termine,12376,false,11913,12505,Baugruppe
"=""0034""",Geheimhaltungsverpflichtung,11286,false,11913,12505,Baugruppe
"=""0035""",Patentverwendung,8687,false,11913,12505,Baugruppe
"=""0036""",Ersatzteilbeschaffung,11600,false,11913,12505,Baugruppe
"=""0037""",Aufträge an Unterlieferanten,12438,false,11913,12505,Baugruppe
"=""0038""",Gewährleistung,8275,false,11913,12505,Baugruppe
"=""0040""",Grundsätze für Herstellung der Versorgungsreife,11201,false,7210,12505,Baugruppe
"=""0041""",Versorgungsgüter,8662,false,11201,12505,Baugruppe
"=""0042""",Vereinheitlichung der Ausrüstung,7230,false,11201,12505,Baugruppe
"=""0043""",Austausch von Ersatzteilen und Austauschgeräten,7647,false,11201,12505,Baugruppe
"=""0044""","Verpackung, Lagerung der Versorgungsgüter",11332,false,11201,12505,Baugruppe
"=""0045""",Lagerung und Transport im Schiff,12330,false,11201,12505,Baugruppe
"=""0046""","Übern. und Abgabe von Geräten, Verbr.-Stoffen, Strom",10443,false,11201,12505,Baugruppe
