Baugruppennummer,Primary_Text,id,isHeading,parentBinding,module,Artifact_Type
0000,Richtlinien_und_Leistungen_für_Planung_Bau_und_Nutzung,11790,false,,12505,Baugruppe
0000,Grundsätze_der_Bauabwicklung,7210,false,11790,12505,Baugruppe
0000,Technische_Vorschriften_für_BauArbeitssicherheit,10460,false,7210,12505,Baugruppe
0001,Bauvorschrift_BV,11262,false,10460,12505,Baugruppe
0002,Gesetze_Vorschriften_Richtlinien_außerhalb_der_BV,6713,false,10460,12505,Baugruppe
0003,Änderungen_und_Ergänzungen_zu_den_Vorschriften,10118,false,10460,12505,Baugruppe
0004,Ausnahmen_von_Vorschriften_der_Arbeitssicherheit,7433,false,10460,12505,Baugruppe
0005,Baubeschreibung,8859,false,10460,12505,Baugruppe
0006,Berechnungen_Zeichnungen_Berichte,7132,false,10460,12505,Baugruppe
0007,Baugruppen_und_TypnummernVerzeichnis_Sachregister,11859,false,10460,12505,Baugruppe
0008,Bezeichnungen_der_Akten_Berichte_und_Zeichnungen,11549,false,10460,12505,Baugruppe
0009,Dokumentation_und_Klassifizierung_der_Vorschriften,9915,false,10460,12505,Baugruppe
0010,Planungs_und_Entwurfsgrundsätze,11725,false,7210,12505,Baugruppe
0011,Typeneigenschaften_des_Schiffes,11628,false,11725,12505,Baugruppe
0012,Koordinierung_der_Anlagen_im_Schiff_Raumaufteilung,9352,false,11725,12505,Baugruppe
0013,Kampfwert_Einsatz,11928,false,11725,12505,Baugruppe
0015,Materialerhaltung_Lebensdauer,10490,false,11725,12505,Baugruppe
0016,Betriebsweise_Bedienung_und_Rollenplan,9326,false,11725,12505,Baugruppe
0017,Rettung_und_Sicherheit,10130,false,11725,12505,Baugruppe
0018,Termin_und_Kostenplanung,11353,false,11725,12505,Baugruppe
0019,Bau_und_Fertigungsplanung,10804,false,11725,12505,Baugruppe
0020,Konstruktions_und_Fertigungsgrundsätze,8524,false,7210,12505,Baugruppe
0021,Konstruktion_und_Berechnung,9261,false,8524,12505,Baugruppe
0022,Fertigungsgrundsätze_Toleranzen,9888,false,8524,12505,Baugruppe
0023,Montage_Transportwege_für_Montage,8629,false,8524,12505,Baugruppe
0024,Werkstoffe,7072,false,8524,12505,Baugruppe
0025,Gewicht_und_Raumbedarf,10127,false,8524,12505,Baugruppe
0026,Schwingungen_Geräusche_Erschütterungen,7886,false,8524,12505,Baugruppe
0027,Sicherheitsmaßnahmen,10450,false,8524,12505,Baugruppe
0028,Instandsetzungsfreundlichkeit,7283,false,8524,12505,Baugruppe
0029,Modell_als_Montage_Bauausführ_und_Konstr.Hilfe,12444,false,8524,12505,Baugruppe
0030,Technischwirtschaftliche_Grundsätze,11913,false,7210,12505,Baugruppe
0031,Bauabwicklung,7805,false,11913,12505,Baugruppe
0032,Kosten,10093,false,11913,12505,Baugruppe
0033,Termine,12376,false,11913,12505,Baugruppe
0034,Geheimhaltungsverpflichtung,11286,false,11913,12505,Baugruppe
0035,Patentverwendung,8687,false,11913,12505,Baugruppe
0036,Ersatzteilbeschaffung,11600,false,11913,12505,Baugruppe
0037,Aufträge_an_Unterlieferanten,12438,false,11913,12505,Baugruppe
0038,Gewährleistung,8275,false,11913,12505,Baugruppe
0040,Grundsätze_für_Herstellung_der_Versorgungsreife,11201,false,7210,12505,Baugruppe
0041,Versorgungsgüter,8662,false,11201,12505,Baugruppe
0042,Vereinheitlichung_der_Ausrüstung,7230,false,11201,12505,Baugruppe
0043,Austausch_von_Ersatzteilen_und_Austauschgeräten,7647,false,11201,12505,Baugruppe
0044,Verpackung_Lagerung_der_Versorgungsgüter,11332,false,11201,12505,Baugruppe
0045,Lagerung_und_Transport_im_Schiff,12330,false,11201,12505,Baugruppe
0046,Übern._und_Abgabe_von_Geräten_Verbr.Stoffen_Strom,10443,false,11201,12505,Baugruppe
0047,Betriebsvorschriften,11877,false,11201,12505,Baugruppe
0048,Persönliche_Effekten,11229,false,11201,12505,Baugruppe
0050,Vorgaben_und_Forderungen,9638,false,7210,12505,Baugruppe
0051,Grundsätze_für_die_Hefte_der_BV,8063,false,9638,12505,Baugruppe
